"","Island_Name","RasterAddress_1km","DepthBin_5m","Depth_m_mn","Longitude_mn","Latitude_mn","Longitude_ras","Latitude_ras","AreaSurveyed_m2_sum","PercentLiveCoralCover_mean","PercentLiveCoralCover_sd","PercentLiveCoralCover_N","PctCoralUnbleached_mean","PctCoralUnbleached_sd","PctCoralUnbleached_N","PctCoralPartialBleached_mean","PctCoralPartialBleached_sd","PctCoralPartialBleached_N","PctCoralFullyBleached_mean","PctCoralFullyBleached_sd","PctCoralFullyBleached_N","PctAffected_mean","PctAffected_sd","PctAffected_N"
"128","Lanai",19617,"(5,10]",9.120164177472,-156.94273628,20.7331746303502,-156.94216834234,20.734543038,12391,15,8.10092587300982,5,56.5,13.7613589445229,5,21,5.18411033833193,5,22.5,18.3711730708738,5,43.5,13.7613589445229,5
"129","Lanai",19618,"(5,10]",9.764492068392,-156.936351066667,20.7331746303502,-156.933154343617,20.73443127,7290.2,10,5,3,54.1666666666667,7.63762615825973,3,17.5,5,3,28.3333333333333,10.4083299973307,3,45.8333333333333,7.63762615825973,3
"130","Lanai",19619,"(5,10]",8.651614981476,-156.92086915,20.7331746303502,-156.924140344894,20.735121635,4385.2,37.5,7.07106781186548,2,65,3.53553390593274,2,20,0,2,15,3.53553390593274,2,35,3.53553390593274,2
"131","Lanai",19620,"(5,10]",9.295196970408,-156.914200614286,20.7331746303502,-156.91512634617,20.7363305814286,13714.8,18.9285714285714,3.49319065502886,7,52.5,11.1803398874989,7,18.9285714285714,5.3729924268556,7,28.5714285714286,6.59184199995577,7,47.5,11.1803398874989,7
"132","Lanai",19621,"(10,15]",10.9728,-156.90825,20.7331746303502,-156.906112347447,20.73451,10,NA,NA,1,82.13,NA,1,5.11,NA,1,12.77,NA,1,17.87,NA,1
"133","Lanai",19621,"(5,10]",7.759066866144,-156.9090598,20.7331746303502,-156.906112347447,20.7358349,2378.6,15,NA,1,45,NA,1,20,NA,1,35,NA,1,55,NA,1
"134","Lanai",19622,"(5,10]",9.144,-156.89285,20.7331746303502,-156.897098348723,20.73276,9.7,NA,NA,1,46.43,NA,1,26.79,NA,1,26.79,NA,1,53.57,NA,1
"135","Maui",13535,"(5,10]",8.754357808248,-156.6876167,20.9678301945525,-156.689776378085,20.964541245,13304.4,1.55,1.34350288425444,2,63.6,12.3036579926459,2,30.1,14.142135623731,2,6.3,1.83847763108502,2,36.4,12.3036579926459,2
"136","Maui",13770,"(5,10]",7.77669441636,-156.68898072,20.9588049805447,-156.689776378085,20.957833584,32269.8,15.02,15.9382244933368,5,71.64,19.3549218546601,5,14.24,18.0328311698413,5,14.12,14.7257257885647,5,28.36,19.3549218546601,5
"137","Maui",14004,"(10,15]",10.3632,-156.69955,20.949779766537,-156.698790376809,20.94925,15,NA,NA,1,56.38,NA,1,10.07,NA,1,33.56,NA,1,43.62,NA,1
"138","Maui",14004,"(5,10]",7.050694391604,-156.69441325,20.949779766537,-156.698790376809,20.9462675,13391.9,18.75,1.76776695296637,2,71.75,9.54594154601839,2,15.75,6.01040764008565,2,12.5,3.53553390593274,2,28.25,9.54594154601839,2
"139","Maui",14005,"(5,10]",7.304558036784,-156.69305525,20.949779766537,-156.689776378085,20.9508387275,21790.3,48.75,10.5079335107654,4,85.75,3.3291640592397,4,9.125,1.9737865470545,4,5.125,1.65201896679992,4,14.25,3.3291640592397,4
"140","Maui",14240,"(5,10]",5.704260465732,-156.6937303,20.9407545525292,-156.689776378085,20.9401848175,30216.7,13.375,21.1004541815257,4,66.25,11.0867789130417,4,16.875,6.25,4,16.875,7.46519702798705,4,33.75,11.0867789130417,4
"141","Maui",14474,"(5,10]",6.209533483632,-156.6951183,20.9317293385214,-156.698790376809,20.92988071,8094,0,NA,1,100,NA,1,0,NA,1,0,NA,1,0,NA,1
"142","Maui",14475,"(5,10]",6.70022744052,-156.69401325,20.9317293385214,-156.689776378085,20.93311718,15800.8,0.05,0.0707106781186548,2,75,35.3553390593274,2,25,35.3553390593274,2,0,0,2,25,35.3553390593274,2
"143","Maui",14944,"(10,15]",10.3632,-156.69501,20.9136789105058,-156.698790376809,20.91035,15,NA,NA,1,46.19,NA,1,15.74,NA,1,38.07,NA,1,53.81,NA,1
"144","Maui",14944,"(5,10]",9.7536,-156.69682,20.9136789105058,-156.698790376809,20.91294,20,NA,NA,1,44.75,NA,1,11.28,NA,1,43.97,NA,1,55.25,NA,1
"145","Maui",14944,"[0,5]",3.5915744469672,-156.69667365,20.9136789105058,-156.698790376809,20.91426753,14671,35,3.53553390593274,2,50,0,2,25,0,2,25,0,2,50,0,2
"146","Maui",14945,"(5,10]",8.619008490936,-156.6916792,20.9136789105058,-156.689776378085,20.90921045,6631.5,5,NA,1,65,NA,1,20,NA,1,15,NA,1,35,NA,1
"147","Maui",14945,"[0,5]",4.3983926541048,-156.69349655,20.9136789105058,-156.689776378085,20.911141905,14531,31.25,5.30330085889911,2,40,7.07106781186548,2,32.5,3.53553390593274,2,27.5,3.53553390593274,2,60,7.07106781186548,2
"148","Maui",15180,"(5,10]",6.34914064968,-156.6901313,20.9046536964981,-156.689776378085,20.90900809,6171.9,1.5,NA,1,70,NA,1,15,NA,1,15,NA,1,30,NA,1
"149","Maui",15180,"[0,5]",4.950982616436,-156.687116525,20.9046536964981,-156.689776378085,20.9046354925,32089.7,13.25,10.3158454169625,4,37.5,2.88675134594813,4,33.125,2.39356776939085,4,29.375,1.25,4,62.5,2.88675134594813,4
"150","Maui",15650,"(10,15]",10.3632,-156.69002,20.8866032684825,-156.689776378085,20.88515,15,NA,NA,1,33.67,NA,1,17.09,NA,1,49.25,NA,1,66.33,NA,1
"151","Maui",15650,"(5,10]",9.7536,-156.69148,20.8866032684825,-156.689776378085,20.88262,16,NA,NA,1,48.15,NA,1,18.52,NA,1,33.33,NA,1,51.85,NA,1
"152","Maui",17537,"(5,10]",9.4488,-156.63087,20.8144015564202,-156.626678387021,20.81472,15,NA,NA,1,35.42,NA,1,10.42,NA,1,54.17,NA,1,64.58,NA,1
"153","Maui",17772,"(5,10]",9.511319927544,-156.6239787,20.8053763424125,-156.626678387021,20.806546855,4883.1,43.75,5.30330085889911,2,38.75,8.83883476483184,2,35,3.53553390593274,2,26.25,5.30330085889911,2,61.25,8.83883476483184,2
"154","Maui",17773,"(10,15]",10.519492092552,-156.6159768,20.8053763424125,-156.617664388298,20.80224275,5036.8,68.75,8.83883476483184,2,63.75,1.76776695296637,2,25,0,2,11.25,1.76776695296637,2,36.25,1.76776695296637,2
"155","Maui",17773,"(5,10]",6.702213282624,-156.617229542857,20.8053763424125,-156.617664388298,20.8033118585714,15605.6,41.7857142857143,23.528098702858,7,47.5,12.5,7,34.6428571428571,8.71165065546462,7,17.8571428571429,5.48265663793784,7,52.5,12.5,7
"156","Maui",17773,"[0,5]",4.749442726908,-156.6205061,20.8053763424125,-156.617664388298,20.80438049,4618.5,35,0,2,28.75,8.83883476483184,2,35,7.07106781186548,2,36.25,1.76776695296637,2,71.25,8.83883476483184,2
"157","Maui",17774,"(10,15]",11.131967520888,-156.608864366667,20.8053763424125,-156.608650389574,20.8037704333333,5476.9,62.5,0,3,52.8366666666667,7.00107372717452,3,23.6533333333333,7.11621622305937,3,23.51,12.6366649081156,3,47.1633333333333,7.00107372717452,3
"158","Maui",17774,"(5,10]",6.4879181928,-156.60833596,20.8053763424125,-156.608650389574,20.80542283,11738,37.5,17.5,5,41.5,9.61769203083567,5,34,7.41619848709566,5,24.5,3.70809924354783,5,58.5,9.61769203083567,5
"159","Maui",17775,"(5,10]",6.105295230336,-156.59913968,20.8053763424125,-156.599636390851,20.802461524,12051.9,47.02,30.3484266478511,5,43,11.5108644332213,5,29.5,3.25960120260132,5,27.5,12.9903810567666,5,57,11.5108644332213,5
"160","Maui",17775,"[0,5]",4.85937715728,-156.5997932,20.8053763424125,-156.599636390851,20.80298887,2382,65,NA,1,57.5,NA,1,25,NA,1,17.5,NA,1,42.5,NA,1
"161","Maui",18010,"(5,10]",8.71562318112,-156.5968112,20.7963511284047,-156.599636390851,20.80073609,2772,37.5,NA,1,30,NA,1,50,NA,1,20,NA,1,70,NA,1
