"","X","Island_Name","RasterAddress_1km","DepthBin_5m","Depth_m_mn","Longitude_mn","Latitude_mn","Longitude_ras","Latitude_ras","AreaSurveyed_m2_sum","PercentLiveCoralCover_mean","PercentLiveCoralCover_sd","PercentLiveCoralCover_N","PctCoralUnbleached_mean","PctCoralUnbleached_sd","PctCoralUnbleached_N","PctCoralPartialBleached_mean","PctCoralPartialBleached_sd","PctCoralPartialBleached_N","PctCoralFullyBleached_mean","PctCoralFullyBleached_sd","PctCoralFullyBleached_N","PctAffected_mean","PctAffected_sd","PctAffected_N","DHW_v2_20151101","DHW_v3_20151101","DHW_MUR_20141101","DHW_MUR_20151101","Prop_BleachResTaxa","optional"
"38",38,"Hawaii",39947,"(5,10]",8.085295293696,-155.8647374,19.9570062256809,-155.860488495532,19.95293604,2699.3,40,NA,1,55,NA,1,32.5,NA,1,12.5,NA,1,45,NA,1,8.28999981470406,12.2665491104126,1.75736233078953,14.735297480433,0.708197523591365,TRUE
"39",39,"Hawaii",40180,"(10,15]",11.042869157556,-155.8756391,19.9479810116732,-155.878516492979,19.944520915,5628.7,12.5,3.53553390593274,2,57.5,17.6776695296637,2,26.25,12.3743686707646,2,16.25,5.30330085889911,2,42.5,17.6776695296637,2,7.08999984152615,12.168981552124,1.74057829860366,14.5820438468849,0.383564077275604,TRUE
"40",40,"Hawaii",40181,"(10,15]",13.764738093792,-155.8724717,19.9479810116732,-155.869502494255,19.9468605,3067.6,22.5,NA,1,62.5,NA,1,12.5,NA,1,25,NA,1,37.5,NA,1,7.08999984152615,12.168981552124,1.74057829860366,14.5820438468849,2.40887845195582,TRUE
"41",41,"Hawaii",40181,"(5,10]",7.487041101456,-155.8681533,19.9479810116732,-155.869502494255,19.95084594,8087.9,34.1666666666667,11.2731243820572,4,42.4641608775,18.2088187225533,4,34.064094515,15.3922724261477,4,23.4717446075,6.12919884069862,4,57.535,18.2072760181198,4,7.08999984152615,12.168981552124,1.74057829860366,14.5820438468849,0.40303565060606,TRUE
"42",42,"Hawaii",40414,"(10,15]",13.716,-155.8847849,19.9389557976654,-155.887530491702,19.93513369,30,NA,NA,1,21.22490642,NA,1,42.01473804,NA,1,36.76035554,NA,1,78.78,NA,1,7.08999984152615,12.168981552124,1.73282454913352,14.7032847554692,2.15379421367002,TRUE
"43",43,"Hawaii",40414,"(5,10]",6.096,-155.8842603,19.9389557976654,-155.887530491702,19.93455534,30,NA,NA,1,29.24374235,NA,1,49.76213401,NA,1,20.99412364,NA,1,70.76,NA,1,7.08999984152615,12.168981552124,1.73282454913352,14.7032847554692,1.57624302070657,TRUE
"44",44,"Hawaii",40415,"(10,15]",11.503300319496,-155.8786541,19.9389557976654,-155.878516492979,19.94242233,2392.5,15,NA,1,55,NA,1,22.5,NA,1,22.5,NA,1,45,NA,1,7.08999984152615,12.168981552124,1.73282454913352,14.7032847554692,1.38571528126819,TRUE
"45",45,"Hawaii",41118,"(10,15]",13.716,-155.9006093,19.911880155642,-155.896544490426,19.9140211,30,NA,NA,1,29.93256529,NA,1,39.45425393,NA,1,30.61318078,NA,1,70.07,NA,1,8.76999980397522,12.1236410140991,1.72251676901793,13.8132697688791,0.724219161537976,TRUE
"46",46,"Hawaii",41118,"(5,10]",6.096,-155.898741,19.911880155642,-155.896544490426,19.91363838,30,NA,NA,1,17.97801748,NA,1,47.27517627,NA,1,34.74680625,NA,1,82.02,NA,1,7.08999984152615,12.168981552124,1.72251676901793,13.8132697688791,0.318777954078478,TRUE
"47",47,"Hawaii",41352,"(10,15]",10.166041262244,-155.9046838,19.9028549416342,-155.905558489149,19.90372347,4222.4,28.75,5.30330085889911,2,61.25,8.83883476483184,2,17.5,0,2,21.25,8.83883476483184,2,38.75,8.83883476483184,2,8.76999980397522,12.1236410140991,1.83786786257566,14.0811862526359,0.674565980554881,TRUE
"48",48,"Hawaii",41352,"(5,10]",8.87528712138,-155.906549625,19.9028549416342,-155.905558489149,19.90156483,8281.8,34.375,4.73242362150023,4,58.75,1.44337567297406,4,15.625,1.25,4,25.625,1.25,4,41.25,1.44337567297406,4,8.76999980397522,12.1236410140991,1.83786786257566,14.0811862526359,0.10995620784639,TRUE
