"","Island_Name","RasterAddress_500m","DepthBin_5m","Depth_m_mn","Longitude_mn","Latitude_mn","Longitude_ras","Latitude_ras","AreaSurveyed_m2_sum","PercentLiveCoralCover_mean","PercentLiveCoralCover_sd","PercentLiveCoralCover_N","PctCoralUnbleached_mean","PctCoralUnbleached_sd","PctCoralUnbleached_N","PctCoralPartialBleached_mean","PctCoralPartialBleached_sd","PctCoralPartialBleached_N","PctCoralFullyBleached_mean","PctCoralFullyBleached_sd","PctCoralFullyBleached_N","PctAffected_mean","PctAffected_sd","PctAffected_N"
"103","Hawaii",177613,"(5,10]",6.662377214976,-156.042278933333,NA,NA,19.78697872,8042.4,12.5,6.61437827766148,3,40,18.0277563773199,3,8.33333333333333,2.88675134594813,3,51.6666666666667,20.2072594216369,3,60,18.0277563773199,3
"104","Hawaii",178082,"(10,15]",13.716,-156.0475293,NA,NA,19.78396682,30,NA,NA,1,40.07029227,NA,1,26.39289678,NA,1,33.53681095,NA,1,59.93,NA,1
"105","Hawaii",178082,"(5,10]",9.382311727344,-156.0478968,NA,NA,19.7834005,4776.5,25,17.6776695296637,3,53.67743048,4.62783338136747,3,10.15929189,2.74240968742078,3,36.16327763,3.2108635183351,3,46.3233333333333,4.62910718533643,3
"106","Hawaii",179021,"(5,10]",7.955828075364,-156.050972,NA,NA,19.7732334625,8280.3,46.25,11.0867789130417,4,55,2.04124145231932,4,22.5,2.04124145231932,4,22.5,2.88675134594813,4,45,2.04124145231932,4
"107","Hawaii",179491,"(5,10]",8.435631369756,-156.0506636,NA,NA,19.7683704,4231.7,12.5,3.53553390593274,2,61.25,1.76776695296637,2,18.75,1.76776695296637,2,20,0,2,38.75,1.76776695296637,2
"108","Hawaii",179961,"(10,15]",10.02145928928,-156.0504038,NA,NA,19.76589198,2009.3,2.6,NA,1,40,NA,1,20,NA,1,40,NA,1,60,NA,1
"109","Hawaii",179961,"(5,10]",9.179393689188,-156.05106295,NA,NA,19.763511555,3963.7,17.75,20.8596500450032,2,53.75,1.76776695296637,2,12.5,0,2,33.75,1.76776695296637,2,46.25,1.76776695296637,2
"110","Hawaii",180431,"(10,15]",11.391377366304,-156.0505692,NA,NA,19.75933499,2146.6,15,NA,1,45,NA,1,30,NA,1,25,NA,1,55,NA,1
"111","Hawaii",180431,"(5,10]",7.866389684772,-156.0512426,NA,NA,19.75935944,4172.4,22.5,3.53553390593274,2,58.75,15.9099025766973,2,18.75,8.83883476483184,2,22.5,7.07106781186548,2,41.25,15.9099025766973,2
"112","Hawaii",180901,"(10,15]",10.100508471288,-156.051285066667,NA,NA,19.7559976366667,6951.4,17.8333333333333,12.6622799421484,3,37.5,4.33012701892219,3,34.1666666666667,8.0363756341608,3,28.3333333333333,3.81881307912987,3,62.5,4.33012701892219,3
"113","Hawaii",180901,"(5,10]",9.981246174888,-156.051119,NA,NA,19.75317539,1906.8,5,NA,1,40,NA,1,30,NA,1,30,NA,1,60,NA,1
"114","Hawaii",181370,"(5,10]",9.485050254912,-156.0546375,NA,NA,19.74853696,1877.8,32.5,NA,1,37.5,NA,1,25,NA,1,37.5,NA,1,62.5,NA,1
"115","Hawaii",181371,"(10,15]",11.297672443224,-156.0519513,NA,NA,19.75039263,1981,25,NA,1,30,NA,1,32.5,NA,1,37.5,NA,1,70,NA,1
"116","Hawaii",181371,"(5,10]",9.448434681204,-156.05242225,NA,NA,19.75073008,3961.1,36.25,1.76776695296637,2,45,3.53553390593274,2,37.5,3.53553390593274,2,17.5,7.07106781186548,2,55,3.53553390593274,2
"117","Hawaii",182310,"(10,15]",11.5824,-156.05568,NA,NA,19.74012,13.1,NA,NA,1,43.22,NA,1,20.6,NA,1,36.18,NA,1,56.78,NA,1
"118","Hawaii",182781,"(5,10]",7.62,-156.05386,NA,NA,19.73598,6.5,NA,NA,1,59.21,NA,1,21.05,NA,1,19.74,NA,1,40.79,NA,1
"119","Hawaii",183249,"(10,15]",10.668,-156.05896,NA,NA,19.73266,4.8,NA,NA,1,59.65,NA,1,16.67,NA,1,23.68,NA,1,40.35,NA,1
"120","Hawaii",189836,"(10,15]",12.192,-156.030145175,NA,NA,19.6710988825,60,NA,NA,4,47.0875673075,13.1205024660912,4,33.6173582125,7.28607663516505,4,24.47007448,6.60543249255155,4,58.0875,11.9214355259759,4
"121","Hawaii",189836,"(5,10]",6.096,-156.0303344,NA,NA,19.67098346,30,NA,NA,1,38.88907248,NA,1,26.05878681,NA,1,35.05214071,NA,1,61.11,NA,1
"122","Hawaii",193604,"(10,15]",10.9728,-155.993,NA,NA,19.6312,30,NA,NA,3,33.6333333333333,18.5995519659301,3,28.6666666666667,12.1079863451085,3,39.5,10.4455732250557,3,68.1666666666667,19.5985543684562,3
"123","Hawaii",200189,"(10,15]",12.192,-155.96935,NA,NA,19.56838,30,NA,NA,3,54.8666666666667,4.31895048979881,3,23.2333333333333,5.85348898805946,3,22.9,0.953939201416945,3,46.1333333333333,4.91663841799794,3
"124","Hawaii",200189,"(5,10]",6.096,-155.9693345,NA,NA,19.56838343,30,NA,NA,1,38.30683023,NA,1,32.47554142,NA,1,29.21762835,NA,1,61.69,NA,1
"125","Hawaii",209597,"(5,10]",7.9248,-155.93278,NA,NA,19.4793,30,NA,NA,3,50.8,4.4977772288098,3,27,8.1504601097116,3,23.8,6.2745517768204,3,50.8,5.33572862878164,3
"126","Hawaii",221355,"(10,15]",10.9728,-155.8974,NA,NA,19.36915,30,NA,NA,3,49.1666666666667,5.78734251045619,3,29.8333333333333,3.75410886008029,3,21.0333333333333,9.08973780333258,3,50.8666666666667,5.76223336331785,3
"127","Hawaii",242032,"(10,15]",14.0208,-155.91325,NA,NA,19.1673,30,NA,NA,3,39.5666666666667,16.676130646326,3,40.1,12.3850716590579,3,22.1666666666667,6.84202699010559,3,62.2666666666667,17.6534227087365,3
